INFO:root:Episode 146,Reward = 90.790000
INFO:root:Episode 147,Reward = 208.709143
INFO:root:Episode 148,Reward = 97.747032
INFO:root:Episode 149,Reward = 349.835852
INFO:root:Episode 150,Reward = 223.502050
INFO:root:Episode 151,Reward = 75.813332
INFO:root:Episode 152,Reward = 294.244736
INFO:root:Episode 153,Reward = 115.455200
INFO:root:Episode 154,Reward = 726.791944
INFO:root:Episode 155,Reward = 256.331213
INFO:root:Episode 156,Reward = 29.440334
INFO:root:Episode 157,Reward = 108.073483
INFO:root:Episode 158,Reward = 138.176608
INFO:root:Episode 159,Reward = 400.257526
INFO:root:Episode 160,Reward = 72.797608
INFO:root:Episode 161,Reward = 488.250721
INFO:root:Episode 162,Reward = 7.921762
INFO:root:Episode 163,Reward = 338.986224
INFO:root:Episode 164,Reward = 352.887768
INFO:root:Episode 165,Reward = 351.876128
INFO:root:Episode 166,Reward = 292.157860
INFO:root:Episode 167,Reward = 52.903083
INFO:root:Episode 168,Reward = 42.268829
INFO:root:Episode 169,Reward = 302.676342
INFO:root:Episode 170,Reward = 391.047454
INFO:root:Episode 171,Reward = 164.713711
INFO:root:Episode 172,Reward = 64.481764
INFO:root:Episode 173,Reward = 344.840167
INFO:root:Episode 174,Reward = 10.711686
INFO:root:Episode 175,Reward = 57.336611
INFO:root:Episode 176,Reward = 7.693207
INFO:root:Episode 177,Reward = 356.547928
INFO:root:Episode 178,Reward = 380.504955
INFO:root:Episode 179,Reward = 194.768224
INFO:root:Episode 180,Reward = 596.965925
INFO:root:Episode 181,Reward = 108.978742
INFO:root:Episode 182,Reward = 229.236810
INFO:root:Episode 183,Reward = 274.436382
INFO:root:Episode 184,Reward = 38.367131
INFO:root:Episode 185,Reward = 60.662811
INFO:root:Episode 186,Reward = 423.846191
INFO:root:Episode 187,Reward = 53.095192
INFO:root:Episode 188,Reward = 8.620878
INFO:root:Episode 189,Reward = 54.607600
INFO:root:Episode 190,Reward = 186.999260
INFO:root:Episode 191,Reward = 291.417514
INFO:root:Episode 192,Reward = 144.078329
INFO:root:Episode 193,Reward = 5.906308
INFO:root:Episode 194,Reward = 384.444105
INFO:root:Episode 195,Reward = 414.568060
INFO:root:Episode 196,Reward = 135.997840
INFO:root:Episode 197,Reward = 284.489290
INFO:root:Episode 198,Reward = 121.796896
INFO:root:Episode 199,Reward = 414.285566
INFO:root:Episode 200,Reward = 238.476605
INFO:root:Episode 201,Reward = 219.512588
INFO:root:Episode 202,Reward = 116.729002
INFO:root:Episode 203,Reward = 152.102402
INFO:root:Episode 204,Reward = 336.612815
INFO:root:Episode 205,Reward = 31.871479
INFO:root:Episode 206,Reward = 62.764512
INFO:root:Episode 207,Reward = 576.800790
INFO:root:Episode 208,Reward = 552.034896
INFO:root:Episode 209,Reward = 367.428951
INFO:root:Episode 210,Reward = 38.519393
INFO:root:Episode 211,Reward = 379.677414
INFO:root:Episode 212,Reward = 7.893096
INFO:root:Episode 213,Reward = 112.945511
INFO:root:Episode 214,Reward = 415.889348
INFO:root:Episode 215,Reward = 273.766666
INFO:root:Episode 216,Reward = 147.182943
INFO:root:Episode 217,Reward = 64.362447
INFO:root:Episode 218,Reward = 11.318633
INFO:root:Episode 219,Reward = 295.712550
INFO:root:Episode 220,Reward = 198.762291
INFO:root:Episode 221,Reward = 390.549182
INFO:root:Episode 222,Reward = 31.798649
INFO:root:Episode 223,Reward = 5.541779
INFO:root:Episode 224,Reward = 74.639426
INFO:root:Episode 225,Reward = 67.021609
INFO:root:Episode 226,Reward = 30.643929
INFO:root:Episode 227,Reward = 182.333554
INFO:root:Episode 228,Reward = 195.514062
INFO:root:Episode 229,Reward = 418.903886
INFO:root:Episode 230,Reward = 7.267049
INFO:root:Episode 231,Reward = 314.288451
INFO:root:Episode 232,Reward = 39.294855
INFO:root:Episode 233,Reward = 165.891452
INFO:root:Episode 234,Reward = 74.477371
INFO:root:Episode 235,Reward = 229.680746
INFO:root:Episode 236,Reward = 7.454393
INFO:root:Episode 237,Reward = 112.631316
INFO:root:Episode 238,Reward = 518.575668
INFO:root:Episode 239,Reward = 6.357135
INFO:root:Episode 240,Reward = 71.790526
INFO:root:Episode 241,Reward = 597.553845
INFO:root:Episode 242,Reward = 161.823856
INFO:root:Episode 243,Reward = 131.134740
INFO:root:Episode 244,Reward = 225.261195
INFO:root:Episode 245,Reward = 161.679351
INFO:root:Episode 246,Reward = 9.031218
INFO:root:Episode 247,Reward = 125.850663
INFO:root:Episode 248,Reward = 284.746342
INFO:root:Episode 249,Reward = 78.164769
INFO:root:Episode 250,Reward = 148.518505
INFO:root:Episode 251,Reward = 191.479940
INFO:root:Episode 252,Reward = 6.626244
INFO:root:Episode 253,Reward = 226.849167
INFO:root:Episode 254,Reward = 50.794824
INFO:root:Episode 255,Reward = 399.287845
INFO:root:Episode 256,Reward = 5.535655
INFO:root:Episode 257,Reward = 146.830598
INFO:root:Episode 258,Reward = 281.868093
INFO:root:Episode 259,Reward = 65.056179
INFO:root:Episode 260,Reward = 152.797913
INFO:root:Episode 261,Reward = 204.000721
INFO:root:Episode 262,Reward = 24.667803
INFO:root:Episode 263,Reward = 5.636070
INFO:root:Episode 264,Reward = 530.604336
INFO:root:Episode 265,Reward = 18.292239
INFO:root:Episode 266,Reward = 61.790156
INFO:root:Episode 267,Reward = 219.559257
INFO:root:Episode 268,Reward = 627.657317
INFO:root:Episode 269,Reward = 129.489292
INFO:root:Episode 270,Reward = 12.737708
INFO:root:Episode 271,Reward = 360.980504
INFO:root:Episode 272,Reward = 240.547483
INFO:root:Episode 273,Reward = 116.063912
INFO:root:Episode 274,Reward = 186.626967
INFO:root:Episode 275,Reward = 379.375294
INFO:root:Episode 276,Reward = 398.627963
INFO:root:Episode 277,Reward = 13.400516
INFO:root:Episode 278,Reward = 22.517708
INFO:root:Episode 279,Reward = 4.810557
INFO:root:Episode 280,Reward = 12.420480
INFO:root:Episode 281,Reward = 351.672420
INFO:root:Episode 282,Reward = 47.401681
INFO:root:Episode 283,Reward = 83.164740
INFO:root:Episode 284,Reward = 5.844276
INFO:root:Episode 285,Reward = 546.995929
INFO:root:Episode 286,Reward = 119.785561
INFO:root:Episode 287,Reward = 35.491218
INFO:root:Episode 288,Reward = 40.250024
INFO:root:Episode 289,Reward = 40.745248
INFO:root:Episode 290,Reward = 304.597913
INFO:root:Episode 291,Reward = 25.290627
INFO:root:Episode 292,Reward = 201.881134
INFO:root:Episode 293,Reward = 332.667293
INFO:root:Episode 294,Reward = 5.229141
INFO:root:Episode 295,Reward = 106.751786
INFO:root:Episode 296,Reward = 242.137194
INFO:root:Episode 297,Reward = 209.801251
INFO:root:Episode 298,Reward = 33.934542
INFO:root:Episode 299,Reward = 107.748470
INFO:root:Episode 300,Reward = 468.379135
INFO:root:Episode 301,Reward = 38.953144
INFO:root:Episode 302,Reward = 256.947227
INFO:root:Episode 303,Reward = 115.518799
INFO:root:Episode 304,Reward = 19.890205
INFO:root:Episode 305,Reward = 45.159211
INFO:root:Episode 306,Reward = 7.161994
INFO:root:Episode 307,Reward = 7.627589
INFO:root:Episode 308,Reward = 332.670677
INFO:root:Episode 309,Reward = 14.959451
INFO:root:Episode 310,Reward = 45.683621
INFO:root:Episode 311,Reward = 107.422093
INFO:root:Episode 312,Reward = 420.823424
INFO:root:Episode 313,Reward = 38.340837
INFO:root:Episode 314,Reward = 35.183035
INFO:root:Episode 315,Reward = 242.448283
INFO:root:Episode 316,Reward = 289.496223
INFO:root:Episode 317,Reward = 9.669047
INFO:root:Episode 318,Reward = 42.646996
INFO:root:Episode 319,Reward = 279.851899
INFO:root:Episode 320,Reward = 358.434652
INFO:root:Episode 321,Reward = 396.234430
INFO:root:Episode 322,Reward = 12.205203
INFO:root:Episode 323,Reward = 280.504409
INFO:root:Episode 324,Reward = 20.009482
INFO:root:Episode 325,Reward = 250.876129
INFO:root:Episode 326,Reward = 151.926665
INFO:root:Episode 327,Reward = 31.611801
INFO:root:Episode 328,Reward = 63.791500
INFO:root:Episode 329,Reward = 35.846826
INFO:root:Episode 330,Reward = 402.942728
INFO:root:Episode 331,Reward = 99.094832
INFO:root:Episode 332,Reward = 546.385889
INFO:root:Episode 333,Reward = 173.876676
INFO:root:Episode 334,Reward = 73.782582
INFO:root:Episode 335,Reward = 292.613997
INFO:root:Episode 336,Reward = 137.054874
INFO:root:Episode 337,Reward = 178.612051
INFO:root:Episode 338,Reward = 13.515318
INFO:root:Episode 339,Reward = 84.449105
INFO:root:Episode 340,Reward = 383.099109
INFO:root:Episode 341,Reward = 398.508577
INFO:root:Episode 342,Reward = 219.900289
INFO:root:Episode 343,Reward = 158.019506
INFO:root:Episode 344,Reward = 127.895099
INFO:root:Episode 345,Reward = 122.610310
INFO:root:Episode 346,Reward = 5.094097
INFO:root:Episode 347,Reward = 102.304321
INFO:root:Episode 348,Reward = 259.958079
INFO:root:Episode 349,Reward = 104.554776
INFO:root:Episode 350,Reward = 9.632209
INFO:root:Episode 351,Reward = 77.088586
INFO:root:Episode 352,Reward = 162.640679
INFO:root:Episode 353,Reward = 134.011202
INFO:root:Episode 354,Reward = 157.366019
INFO:root:Episode 355,Reward = 6.126905
INFO:root:Episode 356,Reward = 71.700106
INFO:root:Episode 357,Reward = 247.477953
INFO:root:Episode 358,Reward = 64.166338
INFO:root:Episode 359,Reward = 196.049385
INFO:root:Episode 360,Reward = 166.892556
INFO:root:Episode 361,Reward = 130.334615
INFO:root:Episode 362,Reward = 44.066180
INFO:root:Episode 363,Reward = 94.311384
INFO:root:Episode 364,Reward = 187.468161
INFO:root:Episode 365,Reward = 139.738944
INFO:root:Episode 366,Reward = 47.471069
INFO:root:Episode 367,Reward = 20.131618
INFO:root:Episode 368,Reward = 68.981365
INFO:root:Episode 369,Reward = 42.050890
INFO:root:Episode 370,Reward = 75.708680
INFO:root:Episode 371,Reward = 321.492302
INFO:root:Episode 372,Reward = 12.098992
INFO:root:Episode 373,Reward = 539.661311
INFO:root:Episode 374,Reward = 15.680106
INFO:root:Episode 375,Reward = 11.649585
INFO:root:Episode 376,Reward = 215.294757
INFO:root:Episode 377,Reward = 311.706649
INFO:root:Episode 378,Reward = 87.987104
INFO:root:Episode 379,Reward = 128.560806
INFO:root:Episode 380,Reward = 69.877448
INFO:root:Episode 381,Reward = 90.967784
INFO:root:Episode 382,Reward = 11.572592
INFO:root:Episode 383,Reward = 40.160376
INFO:root:Episode 384,Reward = 7.714333
INFO:root:Episode 385,Reward = 336.961409
INFO:root:Episode 386,Reward = 471.594839
INFO:root:Episode 387,Reward = 90.776119
INFO:root:Episode 388,Reward = 11.961974
INFO:root:Episode 389,Reward = 591.222150
INFO:root:Episode 390,Reward = 62.173132
INFO:root:Episode 391,Reward = 153.439213
INFO:root:Episode 392,Reward = 106.964537
INFO:root:Episode 393,Reward = 6.274921
INFO:root:Episode 394,Reward = 293.001881
INFO:root:Episode 395,Reward = 103.819929
INFO:root:Episode 396,Reward = 166.978946
INFO:root:Episode 397,Reward = 78.842897
INFO:root:Episode 398,Reward = 398.101839
INFO:root:Episode 399,Reward = 354.612402
INFO:root:Episode 400,Reward = 5.227408
INFO:root:Episode 401,Reward = 225.633406
INFO:root:Episode 402,Reward = 168.931056
INFO:root:Episode 403,Reward = 11.053935
INFO:root:Episode 404,Reward = 28.588712
INFO:root:Episode 405,Reward = 252.376097
INFO:root:Episode 406,Reward = 65.864603
INFO:root:Episode 407,Reward = 245.571481
INFO:root:Episode 408,Reward = 253.164865
INFO:root:Episode 409,Reward = 348.820968
INFO:root:Episode 410,Reward = 80.426682
INFO:root:Episode 411,Reward = 194.595505
INFO:root:Episode 412,Reward = 330.456489
INFO:root:Episode 413,Reward = 148.478755
INFO:root:Episode 414,Reward = 26.773516
INFO:root:Episode 415,Reward = 443.413103
INFO:root:Episode 416,Reward = 94.728737
INFO:root:Episode 417,Reward = 322.063360
INFO:root:Episode 418,Reward = 89.290442
INFO:root:Episode 419,Reward = 84.796311
INFO:root:Episode 420,Reward = 252.692472
INFO:root:Episode 421,Reward = 78.074061
INFO:root:Episode 422,Reward = 51.056926
INFO:root:Episode 423,Reward = 65.670060
INFO:root:Episode 424,Reward = 258.975581
INFO:root:Episode 425,Reward = 56.962677
INFO:root:Episode 426,Reward = 9.623515
INFO:root:Episode 427,Reward = 87.367966
INFO:root:Episode 428,Reward = 129.327811
INFO:root:Episode 429,Reward = 114.586193
INFO:root:Episode 430,Reward = 6.560307
INFO:root:Episode 431,Reward = 292.807396
INFO:root:Episode 432,Reward = 65.970115
INFO:root:Episode 433,Reward = 42.886242
INFO:root:Episode 434,Reward = 373.902981
INFO:root:Episode 435,Reward = 35.043523
INFO:root:Episode 436,Reward = 140.786212
INFO:root:Episode 437,Reward = 68.414200
INFO:root:Episode 438,Reward = 168.965105
INFO:root:Episode 439,Reward = 8.208900
INFO:root:Episode 440,Reward = 596.372820
INFO:root:Episode 441,Reward = 134.410163
INFO:root:Episode 442,Reward = 291.538487
INFO:root:Episode 443,Reward = 348.615531
INFO:root:Episode 444,Reward = 35.602482
INFO:root:Episode 445,Reward = 338.102743
INFO:root:Episode 446,Reward = 87.043523
INFO:root:Episode 447,Reward = 90.204680
INFO:root:Episode 448,Reward = 492.406339
INFO:root:Episode 449,Reward = 112.849236
INFO:root:Episode 450,Reward = 209.762176
INFO:root:Episode 451,Reward = 28.415787
INFO:root:Episode 452,Reward = 181.847067
INFO:root:Episode 453,Reward = 19.229287
INFO:root:Episode 454,Reward = 8.938365
INFO:root:Episode 455,Reward = 18.126538
INFO:root:Episode 456,Reward = 27.234985
INFO:root:Episode 457,Reward = 14.545077
INFO:root:Episode 458,Reward = 28.309941
INFO:root:Episode 459,Reward = 13.551516
INFO:root:Episode 460,Reward = 35.789282
INFO:root:Episode 461,Reward = 197.044281
INFO:root:Episode 462,Reward = 143.985137
INFO:root:Episode 463,Reward = 25.374445
INFO:root:Episode 464,Reward = 15.180236
INFO:root:Episode 465,Reward = 502.810581
INFO:root:Episode 466,Reward = 56.984204
INFO:root:Episode 467,Reward = 11.004748
INFO:root:Episode 468,Reward = 6.647256
INFO:root:Episode 469,Reward = 143.643872
INFO:root:Episode 470,Reward = 54.662441
INFO:root:Episode 471,Reward = 76.677035
INFO:root:Episode 472,Reward = 23.113636
INFO:root:Episode 473,Reward = 260.431538
INFO:root:Episode 474,Reward = 463.332892
INFO:root:Episode 475,Reward = 38.500526
INFO:root:Episode 476,Reward = 63.406540
INFO:root:Episode 477,Reward = 165.877804
INFO:root:Episode 478,Reward = 211.495578
INFO:root:Episode 479,Reward = 161.423830
INFO:root:Episode 480,Reward = 205.920354
INFO:root:Episode 481,Reward = 423.719848
INFO:root:Episode 482,Reward = 11.719237
INFO:root:Episode 483,Reward = 86.212132
INFO:root:Episode 484,Reward = 43.371909
INFO:root:Episode 485,Reward = 406.372831
INFO:root:Episode 486,Reward = 6.404262
INFO:root:Episode 487,Reward = 66.530900
INFO:root:Episode 488,Reward = 278.762084
INFO:root:Episode 489,Reward = 198.374657
INFO:root:Episode 490,Reward = 16.425714
INFO:root:Episode 491,Reward = 394.714241
INFO:root:Episode 492,Reward = 125.081985
INFO:root:Episode 493,Reward = 173.449552
INFO:root:Episode 494,Reward = 309.825775
INFO:root:Episode 495,Reward = 61.196355
INFO:root:Episode 496,Reward = 465.370886
INFO:root:Episode 497,Reward = 138.301082
INFO:root:Episode 498,Reward = 124.523888
INFO:root:Episode 499,Reward = 370.968519
INFO:root:Episode 500,Reward = 432.339151
INFO:root:Episode 501,Reward = 102.225793
INFO:root:Episode 502,Reward = 212.504779
INFO:root:Episode 503,Reward = 67.892507
INFO:root:Episode 504,Reward = 76.494964
INFO:root:Episode 505,Reward = 361.157366
INFO:root:Episode 506,Reward = 197.180213
INFO:root:Episode 507,Reward = 83.204141
INFO:root:Episode 508,Reward = 76.788379
INFO:root:Episode 509,Reward = 167.959107
INFO:root:Episode 510,Reward = 63.995353
INFO:root:Episode 511,Reward = 280.835425
INFO:root:Episode 512,Reward = 254.075659
INFO:root:Episode 513,Reward = 31.299762
INFO:root:Episode 514,Reward = 83.025944
INFO:root:Episode 515,Reward = 168.908865
INFO:root:Episode 516,Reward = 4.363246
INFO:root:Episode 517,Reward = 236.096058
INFO:root:Episode 518,Reward = 53.520632
INFO:root:Episode 519,Reward = 82.727203
INFO:root:Episode 520,Reward = 9.497628
INFO:root:Episode 521,Reward = 74.384504
INFO:root:Episode 522,Reward = 7.534739
INFO:root:Episode 523,Reward = 48.700580
INFO:root:Episode 524,Reward = 292.047044
INFO:root:Episode 525,Reward = 243.996842
INFO:root:Episode 526,Reward = 160.214337
INFO:root:Episode 527,Reward = 252.477532
INFO:root:Episode 528,Reward = 520.790244
INFO:root:Episode 529,Reward = 3.327829
INFO:root:Episode 530,Reward = 539.155249
INFO:root:Episode 531,Reward = 72.979142
INFO:root:Episode 532,Reward = 184.391433
INFO:root:Episode 533,Reward = 205.718814
INFO:root:Episode 534,Reward = 10.401696
INFO:root:Episode 535,Reward = 186.548913
INFO:root:Episode 536,Reward = 84.352393
INFO:root:Episode 537,Reward = 264.895396
INFO:root:Episode 538,Reward = 6.139976
INFO:root:Episode 539,Reward = 72.010441
INFO:root:Episode 540,Reward = 11.308118
INFO:root:Episode 541,Reward = 7.984872
INFO:root:Episode 542,Reward = 318.950209
INFO:root:Episode 543,Reward = 8.245773
INFO:root:Episode 544,Reward = 296.483484
INFO:root:Episode 545,Reward = 77.585415
INFO:root:Episode 546,Reward = 42.696834
INFO:root:Episode 547,Reward = 162.395844
INFO:root:Episode 548,Reward = 126.003509
INFO:root:Episode 549,Reward = 255.412932
INFO:root:Episode 550,Reward = 112.681436
INFO:root:Episode 551,Reward = 8.834790
INFO:root:Episode 552,Reward = 337.130998
INFO:root:Episode 553,Reward = 7.238548
INFO:root:Episode 554,Reward = 251.506862
INFO:root:Episode 555,Reward = 59.635902
INFO:root:Episode 556,Reward = 110.644697
INFO:root:Episode 557,Reward = 6.011799
INFO:root:Episode 558,Reward = 10.226800
INFO:root:Episode 559,Reward = 61.328856
INFO:root:Episode 560,Reward = 12.640833
INFO:root:Episode 561,Reward = 9.215592
INFO:root:Episode 562,Reward = 248.295903
INFO:root:Episode 563,Reward = 310.102992
INFO:root:Episode 564,Reward = 155.286762
INFO:root:Episode 565,Reward = 466.031013
INFO:root:Episode 566,Reward = 256.812141
INFO:root:Episode 567,Reward = 22.039921
INFO:root:Episode 568,Reward = 34.949048
INFO:root:Episode 569,Reward = 37.269013
INFO:root:Episode 570,Reward = 84.560428
INFO:root:Episode 571,Reward = 131.976628
INFO:root:Episode 572,Reward = 56.477222
INFO:root:Episode 573,Reward = 49.178495
INFO:root:Episode 574,Reward = 11.806613
INFO:root:Episode 575,Reward = 41.493082
INFO:root:Episode 576,Reward = 10.700311
INFO:root:Episode 577,Reward = 175.710516
INFO:root:Episode 578,Reward = 533.867563
INFO:root:Episode 579,Reward = 157.703012
INFO:root:Episode 580,Reward = 73.573301
INFO:root:Episode 581,Reward = 85.671427
INFO:root:Episode 582,Reward = 158.618494
INFO:root:Episode 583,Reward = 138.230783
INFO:root:Episode 584,Reward = 20.324465
INFO:root:Episode 585,Reward = 108.404725
INFO:root:Episode 586,Reward = 284.025322
INFO:root:Episode 587,Reward = 82.846766
INFO:root:Episode 588,Reward = 6.020338
INFO:root:Episode 589,Reward = 11.129062
INFO:root:Episode 590,Reward = 28.393670
INFO:root:Episode 591,Reward = 12.811466
INFO:root:Episode 592,Reward = 127.202478
INFO:root:Episode 593,Reward = 10.365059
INFO:root:Episode 594,Reward = 15.382588
INFO:root:Episode 595,Reward = 13.760670
INFO:root:Episode 596,Reward = 178.259406
INFO:root:Episode 597,Reward = 45.527775
INFO:root:Episode 598,Reward = 260.781465
INFO:root:Episode 599,Reward = 5.903762
INFO:root:Episode 600,Reward = 7.668494
INFO:root:Episode 601,Reward = 49.163041
INFO:root:Episode 602,Reward = 143.075268
INFO:root:Episode 603,Reward = 247.423728
INFO:root:Episode 604,Reward = 94.314751
INFO:root:Episode 605,Reward = 75.927803
INFO:root:Episode 606,Reward = 292.600347
INFO:root:Episode 607,Reward = 8.600757
INFO:root:Episode 608,Reward = 71.154206
INFO:root:Episode 609,Reward = 28.203966
INFO:root:Episode 610,Reward = 198.619152
